考試年份,試題編號,標準答案
110年三特情境實務（警察情境實務）,第1題,D
110年三特情境實務（警察情境實務）,第2題,A
110年三特情境實務（警察情境實務）,第4題,C
110年三特情境實務（警察情境實務）,第5題,B
110年三特情境實務（警察情境實務）,第6題,A
110年三特情境實務（警察情境實務）,第7題,D
110年三特情境實務（警察情境實務）,第8題,D
110年三特情境實務（警察情境實務）,第9題,D
110年三特情境實務（警察情境實務）,第10題,B
110年三特情境實務（警察情境實務）,第11題,B
110年三特情境實務（警察情境實務）,第12題,A
110年三特情境實務（警察情境實務）,第13題,A
110年三特情境實務（警察情境實務）,第14題,B
110年三特情境實務（警察情境實務）,第15題,B
110年三特情境實務（警察情境實務）,第16題,B
110年三特情境實務（警察情境實務）,第17題,C
110年三特情境實務（警察情境實務）,第18題,C
110年三特情境實務（警察情境實務）,第19題,C
110年三特情境實務（警察情境實務）,第20題,B
112年三特警察情境（警察情境實務）,第1題,B
112年三特警察情境（警察情境實務）,第2題,C
112年三特警察情境（警察情境實務）,第3題,A
112年三特警察情境（警察情境實務）,第4題,D
112年三特警察情境（警察情境實務）,第5題,C
112年三特警察情境（警察情境實務）,第6題,D
112年三特警察情境（警察情境實務）,第7題,B
112年三特警察情境（警察情境實務）,第8題,C
112年三特警察情境（警察情境實務）,第10題,B
112年三特警察情境（警察情境實務）,第11題,A
112年三特警察情境（警察情境實務）,第12題,B
112年三特警察情境（警察情境實務）,第13題,C
112年三特警察情境（警察情境實務）,第14題,B
112年三特警察情境（警察情境實務）,第15題,D
112年三特警察情境（警察情境實務）,第16題,D
112年三特警察情境（警察情境實務）,第17題,B
112年三特警察情境（警察情境實務）,第18題,D
112年三特警察情境（警察情境實務）,第19題,D
112年三特警察情境（警察情境實務）,第20題,B
