年份,試題編號,標準答案
110年警察特考,第1題,D
110年警察特考,第2題,A
110年警察特考,第4題,C
110年警察特考,第5題,B
110年警察特考,第6題,A
110年警察特考,第7題,D
110年警察特考,第8題,D
110年警察特考,第9題,D
110年警察特考,第10題,B
110年警察特考,第11題,B
110年警察特考,第12題,A
110年警察特考,第13題,A
110年警察特考,第14題,B
110年警察特考,第15題,B
110年警察特考,第16題,B
110年警察特考,第17題,C
110年警察特考,第18題,C
110年警察特考,第19題,C
110年警察特考,第20題,B
111年警察特考,第1題,C
111年警察特考,第2題,B
111年警察特考,第3題,D
111年警察特考,第4題,D
111年警察特考,第5題,D
111年警察特考,第6題,C
111年警察特考,第7題,D
111年警察特考,第8題,B
111年警察特考,第9題,C
111年警察特考,第10題,D
111年警察特考,第11題,C
111年警察特考,第12題,D
111年警察特考,第13題,B
111年警察特考,第14題,C
111年警察特考,第15題,C
111年警察特考,第16題,D
111年警察特考,第17題,D
111年警察特考,第18題,A
111年警察特考,第19題,C
111年警察特考,第20題,D
112年警察特考,第1題,B
112年警察特考,第2題,C
112年警察特考,第3題,A
112年警察特考,第4題,D
112年警察特考,第5題,C
112年警察特考,第6題,D
112年警察特考,第7題,B
112年警察特考,第8題,C
112年警察特考,第10題,B
112年警察特考,第11題,A
112年警察特考,第12題,B
112年警察特考,第13題,C
112年警察特考,第14題,B
112年警察特考,第15題,D
112年警察特考,第16題,D
112年警察特考,第17題,B
112年警察特考,第18題,D
112年警察特考,第19題,D
112年警察特考,第20題,B
113年警察特考,第1題,D
113年警察特考,第2題,B
113年警察特考,第3題,C
113年警察特考,第4題,C
113年警察特考,第5題,A
113年警察特考,第6題,C
113年警察特考,第7題,#
113年警察特考,第8題,B
113年警察特考,第9題,B
113年警察特考,第10題,D
113年警察特考,第11題,C
113年警察特考,第12題,C
113年警察特考,第13題,D
113年警察特考,第14題,B
113年警察特考,第15題,A
113年警察特考,第16題,#
113年警察特考,第17題,A
113年警察特考,第18題,D
113年警察特考,第19題,D
113年警察特考,第20題,D
114年警察特考,第1題,C
114年警察特考,第2題,B
114年警察特考,第3題,D
114年警察特考,第4題,A
114年警察特考,第5題,C
114年警察特考,第6題,D
114年警察特考,第7題,C
114年警察特考,第8題,A
114年警察特考,第9題,A
114年警察特考,第10題,D
114年警察特考,第11題,A
114年警察特考,第12題,C
114年警察特考,第13題,C
114年警察特考,第14題,D
114年警察特考,第15題,#
114年警察特考,第16題,B
114年警察特考,第17題,#
114年警察特考,第18題,A
114年警察特考,第19題,C
114年警察特考,第20題,B
